,address,checkins,city,country,created,icon,latitude,longitude,pid,title,type,updated
4415,Левобережная ,1,119,1,1280742078,https://vk.com/images/places/restaraunt.png,47.206145,39.76267,4415,Smirnoff,3,1483095026.0
4416,Советская 38,26,158,1,1280742078,https://vk.com/images/places/restaraunt.png,55.161198,61.406057,4416,Авиньон,3,1474784474.0
4417,Новослободская 67,10,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.789036,37.59109,4417,Шрайбикус,3,1401293053.0
4418,Шереметьево-2 ,2,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.753559,37.609218,4418,Don Pepe,3,1284575275.0
4419,Елькина ,19,158,1,1280742078,https://vk.com/images/places/restaraunt.png,55.157413,61.398389,4419,Кекс,3,1415435677.0
4420,просп. Ленина 17,7,158,1,1280742078,https://vk.com/images/places/restaraunt.png,55.160442,61.437318,4420,Чао Какао,3,1488207384.0
4421,Новолитовская 15Ка,11,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.980884,30.356005,4421,Кафе драмы и комедии,3,1488629511.0
4422,Партизана Германа 5,4,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.841482,30.173656,4422,Кафе-бар,3,1382250246.0
4423,М.Морская 5,2,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.936156,30.313775,4423,Касабланка,3,1442053501.0
4424,Седова 11,1,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.899302,30.403103,4424,Vero,3,1312319489.0
4425,27-я линия В.О. 83,0,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.929484,30.258915,4425,Алекс,3,1382619110.0
4426,Адмирала Макарова 18,3,151,1,1280742078,https://vk.com/images/places/restaraunt.png,54.793641,56.054766,4426,Шаляппин,3,1417060845.0
4427,Садовническая 76К1,4,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.738667,37.64118,4427,Острова,3,1407516924.0
4428,Урицкого 16,4,57,1,1280742078,https://vk.com/images/places/restaraunt.png,52.283357,104.291993,4428,Вернисаж,3,1349174472.0
4429,Сухэ-Батора 16,0,57,1,1280742078,https://vk.com/images/places/restaraunt.png,52.283407,104.285224,4429,Кафе-кондитерская 16,3,
4430,Ферганская 16,4,49,1,1280742078,https://vk.com/images/places/restaraunt.png,56.77234,60.606741,4430,Ямал,3,1452764574.0
4431,Санникова 17К2,5,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.862954,37.598771,4431,Земля Санникова,3,1472057384.0
4432,Каланчевская 15а,63,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.77233,37.651834,4432,Золотой дракон,3,1488991721.0
4433,Б.Семеновская 11,7,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.783175,37.702513,4433,Золотой ананас,3,1483185116.0
4434,24-й км Рублево-Успенского ш. ,17,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.594763,37.736999,4434,Золотой купол,3,1431271824.0
4435,Садовая-Спасская 21,12,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.769859,37.648861,4435,Каменный цветок,3,1487286470.0
4436,Бутакова 4,1,155,1,1280742078,https://vk.com/images/places/restaraunt.png,55.888735,37.444224,4436,Киваяки,3,1368439557.0
4437,Балаклавский просп. 5а,3,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.640528,37.608221,4437,Елки-палки,3,1478814221.0
4438,Ср.Тишинский пер. 5К7,1,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.769803,37.576609,4438,Вуду Лонж,3,1401714563.0
4439,Краснопресненская наб. 14а,8,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.749917,37.546965,4439,Гарем,3,1401795589.0
4440,Сретенка 1К1,4,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.766592,37.630697,4440,Гейша,3,1353088485.0
4441,Сколковское ш. 21К32,5,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.708947,37.405911,4441,Гертруда,3,1372498552.0
4442,Щипок 16,2,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.724626,37.633158,4442,Гранд Виктория,3,1444768763.0
4443,Комсомольский просп. 7К1,8,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.730958,37.592177,4443,Гурия,3,1461401528.0
4444,Николоямская 28К60,4,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.746856,37.654587,4444,Гуси-лебеди,3,1378437200.0
4445,Павловская 6,28,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.719551,37.626717,4445,Дуров,3,1477925498.0
4446,Профсоюзная 13К12,17,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.680575,37.566503,4446,Da Cicco,3,1482923701.0
4447,Милютинский пер. 19К1,0,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.765605,37.632224,4447,Дворянская усадьба,3,1371156704.0
4448,Широкая 24б,12,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.886695,37.672864,4448,Дуплет,3,1439923570.0
4449,Генеральская ,0,49,1,1280742078,https://vk.com/images/places/restaraunt.png,56.838622,60.637261,4449,Апшерон,3,1383153653.0
4450,Бронницкая 13К19,5,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.914935,30.321738,4450,Хуан Хэ,3,1454571818.0
4451,М.Афанасьевский пер. 14К2,5,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.750712,37.597536,4451,Буффет,3,1413661712.0
4452,Свердловский просп. ,3,158,1,1280742078,https://vk.com/images/places/restaraunt.png,55.172326,61.387547,4452,Дзедо,3,1476015689.0
4453,Петропавловская 4,10,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.966448,30.314341,4453,Чехов,3,1444147119.0
